Platform ID,Platform Name,Slug,Pillar,Category,Tier,Website URL,RSS Feed URL,YouTube Channel URL,Content Type,Daily Post Frequency,Scrape Status,Priority Rank,Description,Editorial Notes
"plat-mbw","Music Business Worldwide","music-business-worldwide","Trade & Business Journalism","financial","tier1","https://www.musicbusinessworldwide.com","https://www.musicbusinessworldwide.com/feed/","https://www.youtube.com/@MusicBusinessWorldwide","Articles","8","active","1","The premier global business news information service for the music industry.","Primary authority for major label financials, streaming payouts, and catalogue M&A."
"plat-billboard-biz","Billboard Pro","billboard-pro","Trade & Business Journalism","financial","tier1","https://www.billboard.com/pro","https://www.billboard.com/c/business/feed/","https://www.youtube.com/@Billboard","Articles","12","active","2","Essential intelligence for the music business, chart data, and executive reporting.","Benchmark for Hot 100 tracking, live touring revenues, and executive moves."
"plat-hits-daily-double","Hits Daily Double","hits-daily-double","Trade & Business Journalism","financial","tier1","https://hitsdailydouble.com","https://hitsdailydouble.com/rss","","Articles","10","active","3","Music industry insider news, sales rumors, A&R radar, and chart projections.","Top publication for label negotiations, album projections, and A&R rumormill."
"plat-variety-music","Variety Music","variety-music","Trade & Business Journalism","financial","tier1","https://variety.com/c/music","https://variety.com/v/music/feed/","","Articles","6","active","4","Entertainment industry business news covering major music deals, film syncs, and executive leadership.","Authoritative sync, Grammy coverage, and label executive transitions."
"plat-digital-music-news","Digital Music News","digital-music-news","Trade & Business Journalism","financial","tier1","https://www.digitalmusicnews.com","https://www.digitalmusicnews.com/feed/","","Articles","9","active","5","Information authority for executives in digital music, streaming copyright, and music tech.","Aggressive coverage of copyright lawsuits, Spotify dispute filings, and distributor metrics."
"plat-cmu","Complete Music Update (CMU)","complete-music-update","Trade & Business Journalism","financial","tier1","https://completemusicupdate.com","https://completemusicupdate.com/feed/","","Articles","5","active","6","Clear, concise analysis of the commercial and legal developments shaping the global music business.","Specialist coverage of UK/EU copyright directives and streaming regulation."
"plat-pollstar","Pollstar","pollstar","Trade & Business Journalism","financial","tier1","https://www.pollstar.com","https://www.pollstar.com/feed","","Research & Data","6","active","7","The concert industry's leading publication tracking worldwide tour grosses, venues, and festival box offices.","Live music touring benchmark, ticketing data, and arena routing analysis."
"plat-music-week","Music Week","music-week","Trade & Business Journalism","financial","tier1","https://www.musicweek.com","https://www.musicweek.com/rss","","Articles","7","active","8","UK trade bible for the commercial record industry, charts, and sync licensing.","Essential for European distribution and UK Official Charts telemetry."
"plat-record-of-the-day","Record of the Day","record-of-the-day","Trade & Business Journalism","financial","tier2","https://www.recordoftheday.com","https://www.recordoftheday.com/feed","","Articles","4","active","9","Independent music consultancy, daily news digest, and buzz track discovery.","Focus on A&R scouting and UK broadcast play-listing."
"plat-celebrity-access","CelebrityAccess","celebrity-access","Trade & Business Journalism","financial","tier2","https://celebrityaccess.com","https://celebrityaccess.com/feed/","","Articles","5","active","10","Live touring profiles, talent buyer directories, agent rosters, and festival booking news.","Crucial for booking agents, venue managers, and live promoters."
"plat-iq-mag","IQ Magazine","iq-magazine","Trade & Business Journalism","financial","tier2","https://www.iq-mag.net","https://www.iq-mag.net/feed/","","Articles","4","active","11","International live music trade intelligence, festival sustainability, and production tech.","Global festival market analysis and touring logistics."
"plat-berklee-journal","Music Business Journal (Berklee)","music-business-journal-berklee","Trade & Business Journalism","financial","tier2","https://www.thembj.org","https://www.thembj.org/feed/","","Research & Data","2","active","12","Academic and investigative journal examining economic shifts in the music economy.","Rigorous research on publishing royalties, antitrust, and streaming micro-economics."
"plat-lefsetz","The Lefsetz Letter","the-lefsetz-letter","Trade & Business Journalism","financial","tier2","https://lefsetz.com","https://lefsetz.com/feed/","","Articles","2","active","13","Bob Lefsetz's influential, unfiltered commentary on music industry power dynamics and tech shifts.","Must-read for major label heads, managers, and entertainment attorneys."
"plat-soundcharts-blog","Soundcharts Blog","soundcharts-blog","Trade & Business Journalism","streaming","tier2","https://soundcharts.com/blog","https://soundcharts.com/blog/rss","","Research & Data","2","active","14","Market telemetry, streaming data analysis, radio airplay tracking, and playlist insights.","In-depth case studies on playlist velocity and global market expansion."
"plat-chartmetric-blog","Chartmetric Blog (How Music Charts)","chartmetric-blog","Trade & Business Journalism","streaming","tier2","https://blog.chartmetric.com","https://blog.chartmetric.com/rss/","","Research & Data","3","active","15","Data-driven music industry insights, genre migration reports, and cross-platform growth metrics.","Essential for tracking audience demographics and algorithmic trigger curves."
"plat-billboard-country","Billboard Country & Regional Desks","billboard-regional-desks","Trade & Business Journalism","financial","tier2","https://www.billboard.com/c/country/","https://www.billboard.com/c/country/feed/","","Articles","4","active","16","Specialized coverage of Country, Latin, and Afrobeats market dominance.","Regional market expansion and terrestrial radio impact."
"plat-music-dish","MusicDish e-Center","musicdish","Trade & Business Journalism","marketing","tier3","http://musicdish.com","http://musicdish.com/rss.xml","","Articles","2","active","17","International music industry bridge connecting Western markets with Greater China & Asia.","Crucial for East Asian touring, NetEase/QQ Music DSP landscape."
"plat-routenote-blog","RouteNote Blog","routenote-blog","Trade & Business Journalism","streaming","tier3","https://routenote.com/blog","https://routenote.com/blog/feed/","","Articles","5","active","18","Digital music distribution trends, DSP payout changes, and indie artist guides.","Practical updates on release delivery windows and DSP algorithmic updates."
"plat-a-journal-of-musical-things","A Journal of Musical Things (Alan Cross)","alan-cross-journal","Trade & Business Journalism","financial","tier3","https://www.ajournalofmusicalthings.com","https://www.ajournalofmusicalthings.com/feed/","","Articles","4","active","19","Broad-spectrum analysis of music industry economics, vinyl sales records, and tech disruption.","Great perspective on physical format resurgence and consumer listening behavior."
"plat-hypebot-trade","Hypebot Industry Desk","hypebot-trade","Trade & Business Journalism","financial","tier1","https://www.hypebot.com","https://www.hypebot.com/hypebot/atom.xml","","Articles","8","active","20","The intersection of music, technology, and indie artist empowering models.","Foundational publication for music-tech venture and D2C marketing."
"plat-trapital","Trapital","trapital","Indie Strategy & D2C","financial","tier1","https://trapital.co","https://trapital.co/feed/","https://www.youtube.com/@Trapital","Multi-Format","3","active","21","Business essays and podcasts dissecting hip-hop business, D2C fan clubs, and creator capital.","Top tier strategic teardowns by Dan Runcie on master ownership and D2C scale."
"plat-water-and-music","Water & Music","water-and-music","Indie Strategy & D2C","tech-ai","tier1","https://waterandmusic.com","https://waterandmusic.substack.com/feed","","Research & Data","2","active","22","Collaborative research network tracking the cutting edge of music tech, Web3, and AI models.","Deepest academic datasets on synthetic voice rights and AI copyright licensing."
"plat-midia-research","MIDiA Research","midia-research","Indie Strategy & D2C","financial","tier1","https://www.midiaresearch.com/blog","https://www.midiaresearch.com/blog/rss","","Research & Data","3","active","23","Global media and entertainment market intelligence, streaming subscriber forecasts, and creator economics.","Authoritative annual reports on independent label market share vs major label share."
"plat-diy-musician","DIY Musician Blog (CD Baby)","diy-musician-cdbaby","Indie Strategy & D2C","tutorials","tier1","https://diymusician.cdbaby.com","https://diymusician.cdbaby.com/feed/","https://www.youtube.com/@cdbaby","Articles","4","active","24","Actionable guides on distribution, copyright registration, sync pitching, and album release timelines.","Practical playbooks for independent musicians navigating distributor portals."
"plat-aris-take","Ari's Take","aris-take","Indie Strategy & D2C","financial","tier1","https://aristake.com","https://aristake.com/feed/","https://www.youtube.com/@ArisTake","Multi-Format","2","active","25","Independent music management advice, distributor comparisons, sync licensing, and copyright fundamentals.","Creator of the definitive annual Music Distributor Comparison Review."
"plat-soundfly","Soundfly Flypaper","soundfly-flypaper","Indie Strategy & D2C","tutorials","tier2","https://flypaper.soundfly.com","https://flypaper.soundfly.com/feed/","","Articles","3","active","26","In-depth articles on songwriting, advanced music theory, vocal production, and creative career management.","Superb balance of creative craft tutorials and practical career strategy."
"plat-symphonic-blog","Symphonic Distribution Blog","symphonic-blog","Indie Strategy & D2C","streaming","tier2","https://blog.symphonic.com","https://blog.symphonic.com/feed/","","Articles","3","active","27","Independent distributor blog covering DSP pitching, marketing strategies, and music rights management.","Strong coverage of Latin, Urban, and Electronic streaming strategies."
"plat-cyber-pr","Cyber PR Music","cyber-pr-music","Indie Strategy & D2C","marketing","tier2","https://www.cyberprmusic.com/blog","https://www.cyberprmusic.com/feed/","","Articles","2","active","28","Ariel Hyatt's digital PR, social media roadmap, email list growth, and crowdfunding frameworks.","Focus on fan email capture, newsletter monetization, and PR pitching."
"plat-bandzoogle-blog","Bandzoogle Blog","bandzoogle-blog","Indie Strategy & D2C","marketing","tier2","https://bandzoogle.com/blog","https://bandzoogle.com/blog.rss","","Articles","2","active","29","Direct-to-fan sales, band website optimization, merchandise fulfillment, and fan subscriptions.","Authoritative D2C merchandise tips and website conversion tactics."
